ticker,definition,signal_date,classification,success_70_10,recovery_20,recovery_25,recovery_30,recovery_35,recovery_40,rsi_change_3,rsi_change_5,rsi_change_10,volume_s1,volume_first,rsi_first
FUBO,B_20_from_low,2026-04-06,temporary_spike,False,S-20,S-15,,,,5.492518639847788,13.842448152991906,0.05086039422273814,1.0000854999651727,S-7,
FUBO,C_20_in_1_3,2026-04-06,temporary_spike,False,S-20,S-15,,,,5.492518639847788,13.842448152991906,0.05086039422273814,1.0000854999651727,S-7,
FUBO,D_rapid_expansion,2026-04-06,temporary_spike,False,S-20,S-15,,,,5.492518639847788,13.842448152991906,0.05086039422273814,1.0000854999651727,S-7,
FUBO,E_base_breakout,2026-06-01,no_significant_move,False,S-20,S-20,S-20,S-20,S-20,3.0958033352803014,5.222476915638374,9.990907338972775,1.3397914618946771,,S-20
VIVK,A_10_from_low,2026-03-24,rapid_move,True,S-20,S-20,S-20,S-15,S-5,6.638949883994485,6.309605405807261,16.60133576184615,0.6402185137070717,,S-20
VIVK,B_20_from_low,2026-03-24,rapid_move,True,S-20,S-20,S-20,S-15,S-5,6.638949883994485,6.309605405807261,16.60133576184615,0.6402185137070717,,S-20
VIVK,C_20_in_1_3,2026-03-27,temporary_spike,False,S-20,S-20,S-20,S-20,S-7,7.608528375597793,-7.19725097494495,4.76013530705405,1.3874917617676645,S-2,S-20
VIVK,D_rapid_expansion,2026-03-27,temporary_spike,False,S-20,S-20,S-20,S-20,S-7,7.608528375597793,-7.19725097494495,4.76013530705405,1.3874917617676645,S-2,S-20
ONCO,A_10_from_low,2026-03-25,true_explosion,True,S-20,S-20,S-20,S-15,S-3,-2.3241513552215807,6.16904154729496,2.6602054832090403,1.0508328780499145,S-15,S-20
ONCO,B_20_from_low,2026-03-26,true_explosion,True,S-20,S-20,S-20,S-10,S-4,0.9188407686933431,10.009992950250755,6.848912084854135,2.513158030260895,S-1,S-20
ONCO,C_20_in_1_3,2026-04-29,no_significant_move,False,S-20,S-20,S-20,,,5.461499107532646,3.721438143970431,4.233717098162046,0.34886426951733074,S-2,S-20
ONCO,E_base_breakout,2026-09-03,temporary_spike,False,S-20,S-20,S-20,S-20,S-20,5.749735584656399,6.461652764900542,4.946873114459983,0.49610599777485587,,S-20
