feature,rule,threshold,p_value,signals,successes,failures,success_rate,success_rate_ci95_clustered,base_rate_all_rows,lift,odds_ratio,fisher_p_value,relative_risk,median_return_20,mean_return_20,tickers,q_value_bh,significant_bh_05
rsi_change_10,top_30,3.6786331397620415,0.06808279382829506,340,46,294,0.13529411764705881,"[0.08283850020946795, 0.1959134040824131]",0.16725352112676056,0.8089164086687306,0.7084278155706727,0.06808279382829506,0.8089164086687306,18.826434377376444,85.07809734137557,145,0.1977643058821904,False
rsi_change_10,top_20,8.408556239096725,0.6195434460745002,226,35,191,0.15486725663716813,"[0.0872598588625986, 0.2283490021721423]",0.16725352112676056,0.9259431765253842,0.8925857118729944,0.6195434460745002,0.9259431765253842,19.646364833438625,76.18881080712148,106,0.7875270444077397,False
rsi_change_10,top_10,15.25712004799329,0.5951455645195523,113,21,92,0.18584070796460178,"[0.09088636363636364, 0.2869898159028594]",0.16725352112676056,1.1111318118304612,1.1534602521224595,0.5951455645195523,1.1111318118304612,21.788279838968805,83.18326840277449,55,0.7875270444077397,False
rsi_min_pre,bottom_10,18.74780052646325,1.0,114,19,95,0.16666666666666666,"[0.07525625565269822, 0.2596318493150685]",0.16725352112676056,0.9964912280701754,0.9953216374269006,1.0,0.9964912280701754,26.966618119662233,96.13072282653177,39,1.0,False
rsi_min_pre,bottom_20,21.798650063126207,0.2740227759991305,226,32,194,0.1415929203539823,"[0.07804710226001342, 0.2133347280334728]",0.16725352112676056,0.8465766185374942,0.7850711209708992,0.2740227759991305,0.8465766185374942,21.561334995113747,87.57917226382477,77,0.4845742413977361,False
rsi_min_pre,bottom_30,24.657460972914144,0.8620975431932689,339,58,281,0.1710914454277286,"[0.11278259003257902, 0.23397458217270195]",0.16725352112676056,1.0229467473994722,1.0398468672490024,0.8620975431932689,1.0229467473994722,21.561334995113747,92.20709822766847,107,0.9390705381212393,False
rsi_min_pre,median,29.20587198837299,0.5791275890382461,565,98,467,0.17345132743362832,"[0.13042863002461033, 0.21802131974906844]",0.16725352112676056,1.0370563577084304,1.0925891443999627,0.5791275890382461,1.0370563577084304,22.264146903266656,84.0032344432083,168,0.7875270444077397,False
rsi_min_pre,top_30,34.22338239244517,0.0009491394716141213,339,38,301,0.11209439528023599,"[0.06270111386138613, 0.16254084182202574]",0.16725352112676056,0.6702064896755162,0.5357142857142857,0.0009491394716141213,0.6702064896755162,17.056859403915993,80.85669064652403,119,0.007390214866433531,True
rsi_min_pre,top_20,37.09367350504012,0.03609296006817341,226,27,199,0.11946902654867257,"[0.05929638215398647, 0.17959233207846245]",0.16725352112676056,0.7142990218910108,0.6217899312513487,0.03609296006817341,0.7142990218910108,15.632526443377225,74.04562647193279,89,0.1295100331857987,False
rsi_min_pre,top_10,41.70949352057183,0.0830512236252885,113,12,101,0.10619469026548672,"[0.03125, 0.19009248327430145]",0.16725352112676056,0.6349324639031206,0.5640226944042719,0.0830512236252885,0.6349324639031206,12.084063968664704,81.00638436655143,57,0.23044747095479215,False
